mean_mfcc1,mean_mfcc2,mean_mfcc3,mean_mfcc4,mean_mfcc5,mean_mfcc6,mean_mfcc7,mean_mfcc8,mean_mfcc9,mean_mfcc10,mean_mfcc11,mean_mfcc12,mean_mfcc13,mean_zcr,mean_centroid,mean_RMSE,label
-327.6352234,32.02013016,-31.10337067,18.53492546,-4.424720287,3.588498354,-10.11414242,-6.914664268,-1.634684205,0.624348164,-7.122472763,2.223261356,-5.324727058,0.511393229,2786.385741,0.025371756,2
-492.2969971,128.400177,2.014981031,56.59870148,2.030421972,-4.501128197,-5.223347664,-2.678737402,-0.975032806,-9.96627903,-13.70722961,6.250471115,-22.02438927,0.1875,1083.157412,0.018966563,4
-460.6427917,12.29305649,-16.94868851,-10.00557137,4.534340382,27.49924469,12.58349514,2.223188639,-27.39225578,5.441171646,19.27314949,5.240991116,-20.90828705,0.401909722,2812.451326,0.032372795,0
-416.3484802,85.36485291,-1.672665358,29.32762909,-0.230732992,2.32638979,-8.928852081,-4.64956522,-5.186817646,9.274609566,-5.756184578,7.198606491,-10.02402115,0.315429688,1794.226091,0.018286176,4
-302.4601135,-34.68120956,-4.609391212,-6.118182659,1.640052795,3.805097103,-3.488132715,18.07899284,1.387688398,0.891400993,3.260838032,5.621814251,-2.16001749,0.700892857,4250.232816,0.057386149,1
-374.9824219,97.0884552,-21.09771919,4.246692657,-3.786586761,-1.262438536,-6.481681824,-1.910630703,-8.825030327,9.344991684,-9.37754631,-1.714402437,-8.292409897,0.286783854,1726.252359,0.021561906,4
-223.4857483,87.16983795,-56.12335205,16.84253693,3.797381401,1.158627987,-5.370329857,0.217613697,-2.818721294,6.031270504,-6.476840973,-6.48744154,-11.29061031,0.443033854,1880.865119,0.092978925,4
-501.6620178,91.57142639,9.468448639,40.35368347,-16.65478516,-11.80940914,-3.464060783,11.36198139,-5.33332634,3.479089737,-7.967368603,2.923250437,-4.170136452,0.430013021,1646.747221,0.012299343,4
-230.2389526,36.94509888,6.314415932,27.93160629,17.11176109,20.71666336,10.86486721,11.51199532,13.93306065,16.84021378,5.88713026,10.74020767,-1.657422662,0.37125651,2551.685583,0.10816054,3
-263.0142822,65.24469757,-13.07170963,26.7773838,-1.874078631,-1.713395834,-4.29872179,-3.57137084,-2.627610683,7.360906124,-9.653950691,0.724297643,-10.92990208,0.283203125,2169.223379,0.048485693,2
-247.6889343,0.874405682,-17.01493645,0.707970142,-2.305782318,5.529332161,-6.653969765,11.62069702,-4.614344597,-2.097442865,-1.263305426,9.082495689,-2.759416819,0.565290179,3472.933573,0.062541604,1
-358.9478149,41.67384338,-33.63983536,22.41967964,-1.508843303,9.530160904,-2.467658758,-0.166897312,0.714251637,0.908941507,-12.30540943,1.358979106,-4.602966785,0.477864583,2554.639485,0.018066391,2
-235.3950806,46.83904266,-58.89109802,18.70278168,-2.911667347,-1.04652524,-3.525775433,-1.649590492,4.917184353,10.77588177,-14.54738998,-3.510699749,-8.59900856,0.332356771,2216.136113,0.098509893,4
-334.8656616,46.75173569,-10.63574791,-8.038836479,-10.45125866,-2.25290513,-8.783391953,1.87497437,-13.26902294,0.665660739,-2.70947051,1.069071889,-19.03209305,0.25390625,2213.073537,0.062269811,0
